Timestamp,Tx Offset Hz,Rx Offset Hz,Offset Delta Hz,Message,SNR dB,DT s,Sat,Az °,El °,Range km,Main Hz,Sub Hz,Main+Sub Hz,Doppler up Hz,Doppler down Hz,Tuning Offset Hz,RIT,RIT Freq Hz,Time diff s,Drift,Residual Doppler
260129_204645,2303,814,1489,PD7JVW M0SNZ -17,-17,-0.0,RS-44,190.5,3.3,3976,435620681,145990091,581610772,-2909,8681,0,OFF,1700,0,5775,3
260129_204700,2303,810,1493,PD7JVW M0SNZ RR73,-16,-0.0,RS-44,190.6,4.1,3887,435620678,145990092,581610770,-2908,8678,0,OFF,1700,0,5769,-1
260129_204745,2303,811,1492,CQ M0SNZ IO91,-10,-0.0,RS-44,190.8,6.8,3618,435620654,145990100,581610754,-2900,8653,0,OFF,1700,0,5754,1
260129_204800,2303,808,1495,CQ M0SNZ IO91,-14,-0.0,RS-44,190.9,7.8,3525,435620640,145990105,581610745,-2895,8639,0,OFF,1700,0,5742,-2
260129_204815,2303,806,1497,CQ M0SNZ IO91,-14,0.0,RS-44,191.0,8.7,3442,435620626,145990110,581610736,-2890,8623,0,OFF,1700,0,5731,-2
260129_204830,2303,803,1500,CQ M0SNZ IO91,-13,-0.0,RS-44,191.1,9.8,3351,435620605,145990116,581610721,-2883,8603,0,OFF,1700,0,5713,-7
260129_204845,2303,800,1503,CQ M0SNZ IO91,-12,-0.0,RS-44,191.2,10.9,3259,435620581,145990124,581610705,-2875,8579,0,OFF,1700,0,5694,-10
260129_204900,2303,797,1506,CQ M0SNZ IO91,-13,0.0,RS-44,191.3,11.9,3177,435620556,145990133,581610689,-2866,8554,0,OFF,1700,1,5675,-13
260129_204930,2303,795,1508,CQ M0SNZ IO91,-12,-0.0,RS-44,191.6,14.1,3001,435620489,145990155,581610644,-2844,8486,0,OFF,1700,1,5628,-14
260129_204945,2303,795,1508,CQ M0SNZ IO91,-11,-0.0,RS-44,191.7,15.4,2908,435620446,145990170,581610616,-2829,8442,0,OFF,1700,0,5600,-13
260129_205000,2303,795,1508,CQ M0SNZ IO91,-13,-0.0,RS-44,191.9,16.7,2820,435620398,145990186,581610584,-2813,8393,0,OFF,1700,0,5568,-12
