Timestamp,Tx Offset Hz,Rx Offset Hz,Offset Delta Hz,Message,SNR dB,DT s,Sat,Az °,El °,Range km,Main Hz,Sub Hz,Main+Sub Hz,Doppler up Hz,Doppler down Hz,Tuning Offset Hz,RIT,RIT Freq Hz,Time diff s,Drift,Residual Doppler,Doppler up rate,Doppler down rate
260131_085052,2560,1128,1432,CQ M0SNZ IO91,-16,-0.1,RS-44,338.0,5.2,3530,435619633,145990442,581610075,-2555,7625,0,OFF,0,0,4948,-122,2,-5
260131_085107,2560,1126,1434,CQ M0SNZ IO91,-12,-0.0,RS-44,337.0,6.1,3449,435619539,145990474,581610013,-2524,7534,0,OFF,0,0,4884,-126,2,-5
260131_085122,2560,1122,1438,CQ M0SNZ IO91,-10,-0.0,RS-44,336.1,6.9,3376,435619448,145990504,581609952,-2494,7442,0,OFF,0,1,4819,-129,3,-9
260131_085152,2560,1117,1443,PA3AIW M0SNZ -06,-7,-0.0,RS-44,334.0,8.6,3224,435619232,145990577,581609809,-2420,7222,0,OFF,0,1,4671,-131,2,-7
260131_085207,2560,1123,1437,PA3AIW M0SNZ RR73,-5,-0.0,RS-44,332.7,9.6,3145,435619098,145990621,581609719,-2375,7088,0,OFF,0,0,4587,-126,4,-10
260131_085237,2560,1127,1433,CQ M0SNZ IO91,-4,-0.0,RS-44,330.2,11.3,3004,435618819,145990715,581609534,-2283,6813,0,OFF,0,0,4406,-124,2,-7
260131_085252,2560,1126,1434,CQ M0SNZ IO91,-4,-0.0,RS-44,328.8,12.3,2933,435618661,145990768,581609429,-2229,6652,0,OFF,0,0,4300,-123,3,-10
260131_085307,2560,1124,1436,CQ M0SNZ IO91,-3,-0.0,RS-44,327.4,13.2,2867,435618495,145990824,581609319,-2173,6484,0,OFF,0,0,4188,-123,3,-11
260131_085322,2560,1123,1437,CQ M0SNZ IO91,-1,-0.0,RS-44,325.9,14.1,2801,435618311,145990885,581609196,-2111,6300,0,OFF,0,0,4064,-125,5,-14
260131_085337,2560,1124,1436,CQ M0SNZ IO91,0,-0.0,RS-44,324.3,15.0,2738,435618125,145990947,581609072,-2046,6105,0,OFF,0,0,3941,-118,6,-16
